;instance;arrival_pfizer;arrival_moderna;arrival_astrazeneca;capacity;first_doses_Pfizer;second_doses_Pfizer;stock_values_Pfizer;first_doses_Moderna;second_doses_Moderna;stock_values_Moderna;first_doses_Astrazeneca;second_doses_Astrazeneca;stock_values_Astrazeneca
0;1;0;9993815;0;4000100;0,0;0,0;0,0;4000100,0;0,0;5993715,0;0,0;0,0;0,0
1;2;0;0;0;4000100;0,0;0,0;0,0;0,0;0,0;5993715,0;0,0;0,0;0,0
2;3;0;0;0;4000100;0,0;0,0;0,0;4000099,0;0,0;1993616,0;0,0;0,0;0,0
3;4;0;0;0;4000100;0,0;0,0;0,0;1993615,0;0,0;1,0;0,0;0,0;0,0
4;5;0;10002328;10000727;4000100;0,0;0,0;0,0;1,0;0,0;10002328,0;0,0;0,0;10000727,0
5;6;0;0;0;4000100;0,0;0,0;0,0;0,0;0,0;10002328,0;4000100,0;0,0;6000627,0
6;7;9998390;0;0;4000100;0,0;0,0;9998390,0;0,0;0,0;10002328,0;0,0;0,0;6000627,0
7;8;10002868;0;0;4000100;0,0;0,0;20001258,0;0,0;0,0;10002328,0;1003265,0;0,0;4997362,0
8;9;0;0;0;4000100;1,0;0,0;20001257,0;0,0;0,0;10002328,0;4000099,0;0,0;997263,0
9;10;0;0;0;4000100;0,0;0,0;20001257,0;0,0;0,0;10002328,0;0,0;0,0;997263,0
10;11;0;0;0;4000100;2006485,0;0,0;17994772,0;0,0;0,0;10002328,0;0,0;0,0;997263,0
11;12;0;0;0;4000100;3002836,0;0,0;14991936,0;0,0;0,0;10002328,0;997263,0;0,0;0,0
12;13;0;0;0;4000100;0,0;0,0;14991936,0;0,0;0,0;10002328,0;0,0;0,0;0,0
13;14;0;0;9993660;4000100;0,0;0,0;14991936,0;0,0;0,0;10002328,0;0,0;0,0;9993660,0
14;15;0;9994606;0;4000100;0,0;0,0;14991936,0;997353,0;0,0;18999581,0;3002746,0;0,0;6990914,0
