"","ndosi"
"1",0
"2",0
"3",0
"4",0
"5",9996929
"6",0
"7",0
"8",0
"9",10001722
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",10002170
"21",9997945
"22",0
"23",0
"24",0
"25",0
"26",10001427
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",10002705
"39",0
"40",0
"41",0
"42",10006355
"43",0
"44",10003324
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",9999934
"56",0
"57",0
"58",0
"59",0
"60",9998380
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",9999893
"71",0
"72",0
"73",0
"74",9998436
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",10000677
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",10002390
"96",0
"97",0
"98",0
"99",0
"100",0
"101",10003485
"102",9999715
"103",0
"104",0
"105",0
"106",0
"107",9996431
"108",0
"109",0
"110",0
"111",0
"112",0
"113",9999874
"114",0
"115",9998732
"116",9996768
"117",10001481
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",10001655
"130",0
"131",0
"132",10001695
"133",0
"134",0
"135",0
"136",9999629
"137",0
"138",10001880
"139",10002012
"140",0
"141",0
"142",0
"143",0
"144",10004062
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",9996664
"160",0
"161",0
"162",0
"163",10000310
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",9998330
"174",0
"175",0
"176",0
"177",9999328
"178",0
"179",0
"180",0
